,#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
1421,1422,Cionel Perez,672335,672335,19614,9869.0,BAL,RP,RP
1422,1423,CJ Abrams,682928,682928,25768,11045.0,WSH,SS,2B/SS
1426,1427,Clarke Schmidt,657376,657376,19899,10165.0,NYY,SP,SP
1429,1430,Clay Buchholz,453329,3543,3543,6848.0,FA,SP,SP
1432,1433,Clay Holmes,605280,605280,13649,9555.0,NYY,RP,RP
1433,1434,Clayton Andrews,677076,677076,23631,10988.0,MIL,RP,RP
1436,1437,Clayton Kershaw,477132,2036,2036,7150.0,LAD,SP,SP
1440,1441,Clint Frazier,640449,15983,15983,8648.0,CHW,OF,OF
1444,1445,Coco Montes,663796,663796,21547,11767.0,COL,2B,2B
1445,1446,Codi Heuer,676051,676051,23293,10901.0,CHC,RP,RP
1447,1448,Cody Bellinger,641355,15998,15998,9649.0,CHC,1B/OF,1B/OF
1450,1451,Cody Bolton,675989,675989,23265,10908.0,PIT,RP,RP
1451,1452,Cody Bradford,674003,674003,27597,11792.0,TEX,SP,SP
1459,1460,Cody Morris,663752,663752,25388,11308.0,CLE,RP,RP
1462,1463,Cody Poteet,547001,547001,18769,11212.0,KC,SP,SP
1468,1469,Cody Thomas,642137,642137,19828,11053.0,OAK,OF,OF
1469,1470,Cody Wilson,680963,680963,24671,11206.0,WSH,OF,OF
1473,1474,Colby White,686831,686831,sa3011200,11410.0,TB,RP,RP
1481,1482,Cole Irvin,608344,608344,19244,10527.0,BAL,SP,SP
1487,1488,Cole Ragans,666142,666142,21846,10166.0,KC,SP,SP
1488,1489,Cole Roederer,680711,680711,sa3008184,10386.0,CHC,OF,OF
1489,1490,Cole Sands,663485,663485,21461,11364.0,MIN,RP,RP
1492,1493,Cole Sulser,642121,642121,15256,10684.0,TB,RP,RP
1494,1495,Cole Waites,686972,686972,25665,11571.0,SF,RP,RP
1496,1497,Cole Winn,668390,668390,sa3008662,10167.0,TEX,RP,RP
1503,1504,Colin Holderman,670059,670059,22361,11469.0,PIT,RP,RP
1504,1505,Colin Moran,592567,16909,16909,8671.0,SEA,1B,1B/3B
1506,1507,Colin Poche,621363,621363,19403,10502.0,TB,RP,RP
1507,1508,Colin Rea,607067,12317,12317,9124.0,MIL,SP,SP
1512,1513,Collin McHugh,543521,7531,7531,8374.0,ATL,SP,SP
1514,1515,Collin Snider,676092,676092,23307,11389.0,KC,RP,RP
1518,1519,Colt Keith,690993,690993,sa3014474,11825.0,DET,2B,2B
1519,1520,Colten Brewer,605155,605155,12997,9918.0,FA,RP,RP
1521,1522,Colton Cowser,681297,681297,29591,11609.0,BAL,OF,OF
1526,1527,Colton Welker,666213,666213,19961,10168.0,FA,3b,3b
1527,1528,Conner Capel,668843,668843,19983,11503.0,OAK,OF,OF
1528,1529,Conner Greene,641632,16455,16455,9881.0,FA,RP,RP
1532,1533,Connor Brogdon,641401,641401,21205,11019.0,PHI,RP,RP
1539,1540,Connor Joe,656582,656582,16572,10517.0,PIT,1B/OF,1B/OF
1542,1543,Connor Kaiser,663731,663731,21535,11813.0,COL,SS,SS
1550,1551,Connor Norby,681393,681393,sa3017019,11603.0,BAL,2B,2B
1551,1552,Connor Overton,656818,656818,18376,11260.0,CIN,SP,SP
1555,1556,Connor Sadzeck,592712,13483,13483,9241.0,MIN,RP,RP
1557,1558,Connor Seabold,657756,657756,19695,11023.0,COL,SP,SP
1560,1561,Connor Thomas,671162,671162,sa3010784,11430.0,STL,SP,SP
1562,1563,Connor Wong,657136,657136,19896,10937.0,BOS,C,C
1568,1569,Cooper Criswell,681867,681867,24975,11270.0,TB,RP,RP
1570,1571,Cooper Hummel,669450,669450,19458,11332.0,SEA,OF,C/OF
1574,1575,Corbin Burnes,669203,669203,19361,9800.0,MIL,SP,SP
1575,1576,Corbin Carroll,682998,682998,25878,11025.0,ARI,OF,OF
1576,1577,Corbin Martin,656686,656686,19884,10170.0,ARI,RP,RP
1578,1579,Corey Dickerson,572816,10762,10762,8526.0,FA,OF,OF
1580,1581,Corey Julks,667452,667452,20311,11604.0,HOU,OF,OF
1581,1582,Corey Kluber,446372,2429,2429,8161.0,BOS,SP,SP
1586,1587,Corey Seager,608369,13624,13624,8668.0,TEX,SS,SS
1589,1590,Cory Abbott,676265,676265,20277,10790.0,WSH,RP,RP
1593,1594,Cory Rasmus,474284,2413,,8492.0,TB,RP,RP
1598,1599,Craig Kimbrel,518886,6655,6655,7760.0,PHI,RP,RP
1599,1600,Craig Stammen,489334,7274,7274,7643.0,FA,RP,RP
1613,1614,Cristian Javier,664299,664299,17606,10717.0,HOU,SP,SP
1617,1618,Cristian Pache,665506,665506,19948,10172.0,PHI,OF,OF
1630,1631,Cristopher Sanchez,650911,650911,20778,10770.0,PHI,SP,SP
1633,1634,Curt Casali,592200,12510,12510,8847.0,CIN,C,C
1634,1635,Curtis Mead,678554,678554,23986,11606.0,TB,3B,3B
1636,1637,Curtis Terry,663799,663799,18881,11242.0,BAL,DH,DH
1639,1640,Cy Sneed,605482,605482,16106,10643.0,FA,RP,RP
1642,1643,D’Shawn Knowles,677610,677610,sa3006889,10387.0,LAA,OF,OF
1644,1645,D.J. Peterson,592637,592637,sa549926,8705.0,FA,3B,3B
1647,1648,Dairon Blanco,680118,680118,19779,11474.0,KC,OF,OF
1655,1656,Dakota Hudson,641712,641712,19206,10064.0,STL,SP,SP
1656,1657,Dallas Keuchel,572971,9434,9434,8321.0,MIN,SP,SP
1657,1658,Dalton Guthrie,656495,656495,21293,11562.0,FA,3B,3B
1670,1671,Damon Jones,676103,676103,23310,10719.0,PHI,RP,RP
1673,1674,Dan Straily,573185,9460,9460,8356.0,FA,SP,SP
1676,1677,Dane Dunning,641540,641540,19409,10174.0,TEX,SP,SP
1677,1678,Dane Myers,667472,667472,22054,11820.0,MIA,OF,OF
1682,1683,Daniel Bard,453268,453268,7115,7137.0,COL,RP,RP
1688,1689,Daniel Camarena,547176,547176,14467,10649.0,SD,RP,RP
1689,1690,Daniel Castano,641447,641447,19805,10841.0,MIA,RP,RP
1691,1692,Daniel Descalso,518614,8392,8392,7977.0,FA,2B,2B
1692,1693,Daniel Duarte,650960,650960,17480,11351.0,CIN,RP,RP
1694,1695,Daniel Espino,682982,682982,sa3011495,10926.0,CLE,SP,SP
1700,1701,Daniel Hudson,543339,7146,7146,7627.0,LAD,RP,RP
1704,1705,Daniel Lynch IV,663738,663738,21537,10176.0,KC,SP,SP
1708,1709,Daniel Mengden,596043,16980,16980,9378.0,WSH,SP,SP
1711,1712,Daniel Murphy,502517,4316,4316,7369.0,LAA,1B,1B
1712,1713,Daniel Norris,596057,13475,13475,8720.0,CLE,RP,RP
1716,1717,Daniel Palencia,694037,694037,27914,11821.0,CHC,RP,RP
1724,1725,Daniel Robertson,621002,14145,14145,8765.0,ATL,3B,2B/SS/ 3B
1732,1733,Daniel Vogelbach,596129,14130,14130,8642.0,NYM,DH,DH
1735,1736,Danny Coulombe,543056,13293,13293,8921.0,BAL,RP,RP
1739,1740,Danny Jansen,643376,16535,16535,9795.0,TOR,C,C
1741,1742,Danny Mendick,664901,664901,18889,10686.0,NYM,SS,SS
1745,1746,Danny Young,664849,664849,18439,10015.0,ATL,RP,RP
1746,1747,Dansby Swanson,621020,18314,18314,9432.0,CHC,SS,SS
1747,1748,Dany Jimenez,666204,666204,21170,10800.0,OAK,RP,RP
1754,1755,Darick Hall,669742,669742,19717,11015.0,PHI,1B,1B
1758,1759,Darien Nunez,628345,628345,21197,11235.0,SF,RP,RP
1759,1760,Darin Ruf,573131,9929,9929,8403.0,MIL,1B/OF,1B/OF
1760,1761,Dario Agrazal,642607,642607,15821,9849.0,FA,SP,SP
1766,1767,Darius Vines,670241,670241,sa918848,11647.0,ATL,RP,RP
1775,1776,Darren McCaughan,670766,670766,20038,11241.0,SEA,RP,RP
1783,1784,Darwinzon Hernandez,650382,650382,19848,10178.0,FA,RP,RP
1785,1786,DaShawn Keirsey Jr.,680577,680577,sa3007301,10388.0,MIN,OF,OF
1787,1788,Daulton Jefferies,641726,641726,19345,10179.0,OAK,SP,SP
1788,1789,Daulton Varsho,662139,662139,19918,10180.0,TOR,C/OF,C/OF
1790,1791,Dauri Moreta,664294,664294,21101,11294.0,PIT,RP,RP
1795,1796,David Bednar,670280,670280,19569,10681.0,PIT,RP,RP
1796,1797,David Bote,623520,623520,14593,9607.0,CHC,2B,2B/3B
1798,1799,David Dahl,621311,13744,13744,8651.0,LAD,OF,OF
1800,1801,David Fletcher,664058,664058,17992,9230.0,LAA,2B/SS,2B/SS
1802,1803,David Fry,681807,681807,24934,11789.0,CLE,C/1B/ 3B,C/1B/ 3B
1803,1804,David Garcia,671272,671272,sa3003197,11174.0,TEX,C,C
1807,1808,David Hamilton,666152,666152,27531,11645.0,BOS,2B/SS,2B/SS
1808,1809,David Hensley,682073,682073,25111,11542.0,HOU,3B,3B
1823,1824,David Peralta,444482,2136,2136,8801.0,LAD,OF,OF
1824,1825,David Peterson,656849,656849,20302,10181.0,NYM,SP,SP
1827,1828,David Robertson,502085,8241,8241,7384.0,MIA,RP,RP
1833,1834,David Villar,681584,681584,24782,11510.0,SF,2B/3B,1B/2B/ 3B
1839,1840,Davis Martin,663436,663436,21448,11470.0,CHW,SP,SP
1840,1841,Davis Schneider,676914,676914,23565,11838.0,TOR,2B,2B
1852,1853,Daysbel Hernandez,678226,678226,20271,11832.0,ATL,RP,RP
1854,1855,Daz Cameron,663662,663662,18353,10182.0,BAL,OF,OF
1855,1856,Dean Kremer,665152,665152,19350,10183.0,BAL,SP,SP
1859,1860,Declan Cronin,686539,686539,25645,11834.0,CHW,RP,RP
1860,1861,Dedniel Nunez,673380,673380,sa3004203,11195.0,NYM,RP,RP
1862,1863,Deivi Garcia,665620,665620,20276,10184.0,FA,RP,RP
1881,1882,Dennis Santana,642701,642701,17878,9917.0,NYM,RP,RP
1886,1887,Denyi Reyes,660593,660593,20526,10500.0,NYM,RP,RP
1889,1890,Deolis Guerra,500610,8410,8410,9086.0,OAK,RP,RP
1891,1892,Dereck Rodriguez,605446,605446,14509,10034.0,ATL,RP,RP
1898,1899,Derek Hill,656537,656537,16947,10714.0,WSH,OF,OF
1900,1901,Derek Law,571882,13133,13133,9289.0,CIN,SP,SP
1906,1907,Dermis Garcia,660650,660650,20926,10186.0,OAK,1B,1B
1916,1917,Devin Hairston,670767,670767,sa915575,10004.0,MIA,SS,SS
1917,1918,Devin Mann,669471,669471,sa3006869,11051.0,KC,2B,2B
1920,1921,Devin Smeltzer,656970,656970,19487,10628.0,MIA,SP,SP
1921,1922,Devin Sweet,682967,682967,25348,11828.0,SEA,RP,RP
1922,1923,Devin Williams,642207,642207,15816,10665.0,MIL,RP,RP
1933,1934,Diego Cartaya,682616,682616,sa3008742,10389.0,LAD,C,C
1934,1935,Diego Castillo,650895,650895,17496,9903.0,SEA,RP,RP
1935,1936,Diego Castillo,660636,660636,19906,11319.0,ARI,2B/SS/ OF,2B/SS/ OF
1948,1949,Dillon Dingler,693307,693307,sa3014528,10920.0,DET,C,C
1953,1954,Dillon Tate,622253,622253,17796,10459.0,BAL,RP,RP
1957,1958,Dinelson Lamet,659275,659275,17186,9661.0,FA,SP,SP
1966,1967,DJ LeMahieu,518934,9874,9874,8079.0,NYY,1B/2B/ 3B,1B/2B/ 3B
1967,1968,DJ Peters,656847,656847,19348,9982.0,DET,OF,OF
1968,1969,DJ Stewart,621466,621466,17766,10017.0,NYM,OF,OF
1969,1970,DL Hall,669084,669084,22207,10187.0,BAL,RP,RP
1973,1974,Domingo Acevedo,642758,642758,17092,9896.0,OAK,RP,RP
1974,1975,Domingo German,593334,17149,17149,9145.0,NYY,SP,SP
1979,1980,Domingo Santana,570267,10348,10348,8834.0,FA,OF,OF
1980,1981,Domingo Tapia,593619,593619,12178,10939.0,SD,RP,RP
1981,1982,Dominic Canzone,686527,686527,26438,11778.0,SEA,OF,OF
1982,1983,Dominic Fletcher,666150,666150,26149,11026.0,ARI,OF,OF
1986,1987,Dominic Leone,608678,13763,13763,8750.0,LAA,RP,RP
1991,1992,Dominic Smith,642086,15653,15653,8679.0,WSH,1B,1B
1996,1997,Donny Sands,664848,664848,18603,11322.0,DET,C,C
1999,2000,Donovan Casey,661541,661541,sa915654,9994.0,WSH,OF,OF
2000,2001,Donovan Solano,456781,8623,8623,8294.0,MIN,1B/2B/ 3B,1B/2B/ 3B
2001,2002,Donovan Walton,622268,622268,19314,10697.0,SF,2B,2B/SS
2006,2007,Dovydas Neverauskas,596720,596720,11604,9472.0,FA,RP,RP
2015,2016,Drew Carlton,656290,656290,19868,11281.0,SD,RP,RP
2016,2017,Drew Ellis,656403,656403,19873,11249.0,PHI,3B,3B
2018,2019,Drew Gagnon,543193,543193,12545,10057.0,FA,RP,RP
2024,2025,Drew Maggi,543482,543482,11381,10947.0,FA,SS,SS
2025,2026,Drew Mendoza,666141,666141,sa3011256,11125.0,FA,1B,1B
2029,2030,Drew Pomeranz,519141,11426,11426,8189.0,SD,RP,RP
2030,2031,Drew Rasmussen,656876,656876,25385,10807.0,TB,SP,SP
2033,2034,Drew Rucinski,607968,12499,12499,8844.0,OAK,SP,SP
2034,2035,Drew Smith,622098,622098,17755,10047.0,NYM,RP,RP
2035,2036,Drew Smyly,592767,11760,11760,8246.0,CHC,SP,SP
2037,2038,Drew Strotman,675977,675977,sa3004584,11160.0,SF,RP,RP
2040,2041,Drew VerHagen,572403,13424,13424,8848.0,STL,RP,RP
2042,2043,Drew Waters,671221,671221,20505,10188.0,KC,OF,OF
2043,2044,Drey Jameson,686753,686753,26260,11403.0,ARI,RP,RP
2045,2046,Druw Jones,702258,702258,,11747.0,ARI,,
2046,2047,Duane Underwood Jr.,621249,14677,14677,9536.0,PIT,RP,RP
2051,2052,Durbin Feltman,664687,664687,sa3007959,10523.0,FA,RP,RP
2055,2056,Dustin Harris,687957,687957,sa3010279,11589.0,TEX,OF,OF
2056,2057,Dustin May,669160,669160,19716,10189.0,LAD,SP,SP
2065,2066,Dylan Carlson,666185,666185,20126,10190.0,STL,OF,OF
2066,2067,Dylan Cease,656302,656302,18525,10191.0,CHW,SP,SP
2067,2068,Dylan Coleman,669395,669395,22276,11292.0,KC,RP,RP
2068,2069,Dylan Covey,592229,592229,14825,9590.0,PHI,SP,SP
2071,2072,Dylan Dodd,689266,689266,29928,11765.0,ATL,SP,SP
2073,2074,Dylan Floro,571670,13394,13394,9401.0,MIN,RP,RP
2076,2077,Dylan Lee,669276,669276,19996,10842.0,ATL,RP,RP
2079,2080,Dylan Moore,664238,664238,18042,10444.0,SEA,SS/OF,2B/SS/ OF
2093,2094,Easton McGee,668834,668834,22176,11579.0,SEA,SP,SP
2097,2098,Eddie Rosario,592696,12155,12155,8675.0,ATL,OF,OF
2101,2102,Eddy Diaz,677647,677647,sa3004979,10391.0,COL,SS,SS
2112,2113,Edgar Navarro,679346,679346,24363,11835.0,CHW,RP,RP
2124,2125,Edmundo Sosa,624641,624641,17022,9557.0,PHI,SS/3B,SS/3B
2125,2126,Edouard Julien,666397,666397,27534,11592.0,MIN,2B,2B
2132,2133,Eduard Bazardo,660825,660825,20997,11165.0,SEA,RP,RP
2134,2135,Eduardo Escobar,500871,6153,6153,8168.0,LAA,2B/3B,2B/3B
2145,2146,Eduardo Rodriguez,593958,13164,13164,8632.0,DET,SP,SP
2146,2147,Eduardo Salazar,674285,674285,23135,11795.0,CIN,RP,RP
2155,2156,Edwar Colina,666674,666674,20589,10829.0,TEX,RP,RP
2157,2158,Edward Cabrera,665795,665795,21690,10721.0,MIA,SP,SP
2163,2164,Edward Olivares,658668,658668,19698,9605.0,KC,OF,OF
2170,2171,Edwin Diaz,621242,14710,14710,9376.0,NYM,RP,RP
2172,2173,Edwin Encarnacion,429665,2151,2151,4494.0,FA,DH,1B
2176,2177,Edwin Rios,621458,621458,18316,9955.0,CHC,DH,DH
2179,2180,Edwin Uceta,670955,670955,20539,11060.0,NYM,RP,RP
2184,2185,Eguy Rosario,666703,666703,19964,11367.0,SD,3B,3B
2185,2186,Ehire Adrianza,501303,8418,8418,8606.0,ATL,3B,2B/3B
2187,2188,Elehuris Montero,660707,660707,20543,10392.0,COL,1B/3B,1B/3B
2189,2190,Eli Morgan,669212,669212,20203,10928.0,CLE,RP,RP
2191,2192,Eli White,642201,642201,19346,10821.0,ATL,OF,OF
2196,2197,Elias Diaz,553869,11680,11680,9153.0,COL,C,C
2201,2202,Elier Hernandez,609274,609274,13750,11517.0,TEX,OF,OF
2203,2204,Elieser Hernandez,622694,622694,16933,9927.0,NYM,RP,RP
2217,2218,Elliot Soto,519303,519303,11155,10914.0,MIN,SS,SS
2218,2219,Elly De La Cruz,682829,682829,26668,11583.0,CIN,SS/3B,SS/3B
2220,2221,Eloy Jimenez,650391,650391,17484,9782.0,CHW,OF,OF
2223,2224,Elvis Andrus,462101,8709,8709,7131.0,CHW,2B/SS,2B/SS
2228,2229,Elvis Peguero,665625,665625,21652,11267.0,MIL,RP,RP
2236,2237,Emerson Hancock,676106,676106,27470,10873.0,SEA,SP,SP
2240,2241,Emilio Pagan,641941,641941,14771,9652.0,MIN,RP,RP
2244,2245,Emmanuel Clase,661403,661403,21032,10661.0,CLE,RP,RP
2245,2246,Emmanuel Rivera,656896,656896,19890,11231.0,ARI,3B,3B
2247,2248,Emmet Sheehan,686218,686218,29839,11811.0,LAD,SP,SP
2252,2253,Endy Rodriguez,682848,682848,25332,11584.0,PIT,C,C
2261,2262,Enmanuel Valdez,665839,665839,21716,11626.0,BOS,2b,2b
2263,2264,Enoli Paredes,660600,660600,20447,10737.0,HOU,RP,RP
2265,2266,Enrique Hernandez,571771,10472,10472,8835.0,LAD,2B/SS/ OF,2B/SS/ OF
2271,2272,Enyel De Los Santos,660853,660853,18403,10058.0,CLE,RP,RP
2273,2274,Erasmo Ramirez,541640,10314,10314,8242.0,TB,RP,RP
2281,2282,Eric Haase,606992,606992,14111,9831.0,DET,C/OF,C/OF
2283,2284,Eric Hosmer,543333,3516,3516,7529.0,FA,1B,1B
2285,2286,Eric Lauer,641778,641778,19316,10024.0,MIL,SP,SP
2288,2289,Eric Pardinho,672078,672078,sa968102,10192.0,TOR,SP,SP
2302,2303,Eric Yardley,642233,642233,15538,10676.0,FA,RP,RP
2303,2304,Erich Uelmen,657272,657272,20323,11518.0,PHI,RP,RP
2320,2321,Erik Gonzalez,570481,13369,13369,9206.0,CHW,SS,SS
2326,2327,Erik Swanson,657024,657024,16587,10449.0,TOR,RP,RP
2331,2332,Ernie Clement,676391,676391,20352,10925.0,TOR,3B,2B/3B/ OF
2350,2351,Esteban Quiroz,606019,606019,19780,10787.0,PHI,SS,SS
2351,2352,Esteury Ruiz,665923,665923,21780,10193.0,OAK,OF,OF
2352,2353,Estevan Florial,664314,664314,19151,10194.0,NYY,OF,OF
2356,2357,Ethan Hankins,677945,677945,sa3008589,10195.0,CLE,SP,SP
2361,2362,Ethan Roberts,681799,681799,24930,11361.0,CHC,RP,RP
2365,2366,Ethan Small,663629,663629,26364,10992.0,MIL,RP,RP
2369,2370,Eugenio Suarez,553993,12552,12552,8805.0,SEA,3B,3B
2372,2373,Eury Perez,691587,691587,27768,11591.0,MIA,SP,SP
2374,2375,Evan Carter,694497,694497,sa3014490,11753.0,TEX,OF,OF
2380,2381,Evan Lee,681885,681885,24988,11338.0,WSH,RP,RP
2381,2382,Evan Longoria,446334,9368,9368,6782.0,ARI,3B,3B
2385,2386,Evan Mendoza,656734,656734,sa3002836,10883.0,SD,3B,3B
2387,2388,Evan Phillips,623465,623465,17734,9635.0,LAD,RP,RP
2388,2389,Evan Reifert,682126,682126,sa3014860,11630.0,TB,RP,RP
2389,2390,Evan Scribner,519267,7525,,8055.0,TB,RP,RP
2393,2394,Evan White,657108,657108,20078,10196.0,SEA,1B,1B
2395,2396,Everson Pereira,677592,677592,sa3007034,10197.0,NYY,OF,OF
2401,2402,Ezequiel Duran,677649,677649,23733,11370.0,TEX,SS/3B/ OF,2B/SS/ 3B/OF
2404,2405,Ezequiel Tovar,678662,678662,24064,11346.0,COL,SS,SS
2417,2418,Felix Bautista,642585,642585,20666,11379.0,BAL,RP,RP
2419,2420,Felix Hernandez,433587,4772,4772,5256.0,FA,SP,SP
2430,2431,Fernando Abad,472551,4994,4994,7932.0,COL,RP,RP
2431,2432,Fernando Cruz,518585,518585,7048,11557.0,CIN,RP,RP
2438,2439,Fernando Tatis Jr.,665487,665487,19709,9948.0,SD,SS/OF,SS/OF
2446,2447,Ford Proctor,665154,665154,21634,11140.0,SF,SS,SS
2447,2448,Forrest Wall,657088,657088,16496,8944.0,ATL,2b,2b
2448,2449,Forrest Whitley,666215,666215,sa917930,9817.0,HOU,SP,SP
2451,2452,Frainyer Chavez,669413,669413,sa3007019,10395.0,TEX,SS,SS
2452,2453,Framber Valdez,664285,664285,17295,10083.0,HOU,SP,SP
2454,2455,Franchy Cordero,614173,614173,14567,9541.0,NYY,1B/OF,1B/OF
2457,2458,Francis Martes,642564,642564,17303,9671.0,FA,RP,RP
2459,2460,Francisco Alvarez,682626,682626,26121,11118.0,NYM,C,C
2464,2465,Francisco Lindor,596019,12916,12916,8226.0,NYM,SS,SS
2465,2466,Francisco Liriano,434538,3201,3201,4894.0,FA,RP,RP
2466,2467,Francisco Mejia,642336,16403,16403,9548.0,TB,C,C
2467,2468,Francisco Morales,672839,672839,22913,10198.0,PHI,RP,RP
2473,2474,Francisco Perez,660906,660906,21018,11259.0,OAK,RP,RP
2489,2490,Frankie Montas,593423,14309,14309,9103.0,NYY,SP,SP
2502,2503,Franmil Reyes,614177,614177,14566,10029.0,WSH,DH,OF
2508,2509,Freddie Freeman,518692,5361,5361,7793.0,LAD,1B,1B
2510,2511,Freddy Fermin,666023,666023,21840,11514.0,KC,C,C
2514,2515,Freddy Peralta,642547,642547,18679,9915.0,MIL,SP,SP
2515,2516,Freddy Tarnok,676206,676206,23324,11335.0,OAK,RP,RP
2526,2527,Gabe Speier,642100,642100,17170,10688.0,SEA,RP,RP
2529,2530,Gabriel Arias,672356,672356,22563,10200.0,CLE,1B/SS/ 3B/OF,1B/SS/ 3B/OF
2541,2542,Gabriel Moreno,672515,672515,22664,11117.0,ARI,C,C
2545,2546,Gabriel Rodriguez,682621,682621,sa3008744,10396.0,CLE,SS,SS
2546,2547,Gabriel Rodriguez,676082,676082,sa3007219,10396.0,COL,RP,RP
2551,2552,Gabriel Ynoa,593679,12938,12938,9315.0,FA,SP,SP
2556,2557,Garrett Acton,670183,670183,27583,11759.0,FA,RP,RP
2558,2559,Garrett Cleavinger,664076,664076,17897,10769.0,TB,RP,RP
2559,2560,Garrett Cooper,643265,643265,15279,9705.0,SD,1B,1B
2560,2561,Garrett Crochet,676979,676979,27463,10900.0,CHW,RP,RP
2563,2564,Garrett Hampson,641658,641658,19262,9983.0,MIA,2B/SS/ OF,2B/SS/ 3B/OF
2565,2566,Garrett Hill,682051,682051,25097,11507.0,DET,RP,RP
2568,2569,Garrett Mitchell,669003,669003,27555,11204.0,MIL,OF,OF
2574,2575,Garrett Stubbs,596117,596117,18067,10201.0,PHI,C,C
2576,2577,Garrett Whitlock,676477,676477,20191,11190.0,BOS,SP,SP
2582,2583,Gary Sanchez,596142,11442,11442,8212.0,SD,C,C
2589,2590,Gavin Hollowell,668970,668970,25427,11577.0,COL,RP,RP
2592,2593,Gavin Lux,666158,666158,19955,10203.0,LAD,2B/OF,2B/OF
2593,2594,Gavin Sheets,657757,657757,19901,10204.0,CHW,1B/OF,1B/OF
2594,2595,Gavin Stone,694813,694813,27792,11587.0,LAD,SP,SP
2596,2597,Gavin Williams,668909,668909,30122,11590.0,CLE,SP,SP
2601,2602,Genesis Cabrera,650893,650893,17490,10447.0,TOR,RP,RP
2602,2603,Geoff Hartlieb,664129,664129,19558,10623.0,MIA,RP,RP
2605,2606,George Kirby,669923,669923,25436,10874.0,SEA,SP,SP
2606,2607,George Soriano,666277,666277,21863,11684.0,MIA,RP,RP
2607,2608,George Springer,543807,12856,12856,8433.0,TOR,OF,OF
2608,2609,George Valera,671655,671655,sa3006872,10205.0,CLE,OF,OF
2612,2613,Geraldo Perdomo,672695,672695,22799,10397.0,ARI,2B/SS,2B/SS/ 3B
2615,2616,Gerardo Carrillo,672629,672629,sa3002790,11054.0,WSH,RP,RP
2618,2619,Gerardo Reyes,622103,622103,16306,10488.0,LAA,RP,RP
2625,2626,German Marquez,608566,15038,15038,9295.0,COL,SP,SP
2629,2630,Gerrit Cole,543037,13125,13125,8231.0,NYY,SP,SP
2632,2633,Gerson Moreno,642575,642575,sa736656,9891.0,WSH,SP,SP
2638,2639,Giancarlo Stanton,519317,4949,4949,7789.0,NYY,OF,OF
2644,2645,Gilberto Celestino,665482,665482,20233,10763.0,MIN,OF,OF
2649,2650,Gio Urshela,570482,10681,10681,9069.0,LAA,1B/3B,1B/3B
2651,2652,Giovanny Gallegos,606149,606149,14986,9526.0,STL,RP,RP
2655,2656,Glenn Otto,657248,657248,21366,11269.0,TEX,SP,SP
2658,2659,Gleyber Torres,650402,16997,16997,9778.0,NYY,2B,2B
2660,2661,Gordon Graceffo,700669,700669,sa3016849,11598.0,STL,SP,SP
2663,2664,Grae Kessinger,666197,666197,25813,11804.0,HOU,SS,SS
2665,2666,Graham Ashcraft,668933,668933,27552,11417.0,CIN,SP,SP
2669,2670,Grant Anderson,681982,681982,20546,11799.0,TEX,RP,RP
2673,2674,Grant Hartwig,701643,701643,29946,11814.0,NYM,RP,RP
2678,2679,Grant Lavigne,680693,680693,sa3007743,10206.0,COL,1B,1B
2687,2688,Grayson Rodriguez,680570,680570,24492,10207.0,BAL,SP,SP
2688,2689,Greg Allen,656185,16623,16623,9744.0,NYY,OF,OF
2695,2696,Greg Weissert,669711,669711,20375,10585.0,NYY,RP,RP
2702,2703,Gregory Santos,666619,666619,21894,11166.0,CHW,RP,RP
2703,2704,Gregory Soto,642397,642397,19677,9892.0,PHI,RP,RP
2706,2707,Greyson Jenista,680571,680571,sa3007044,10208.0,KC,OF,OF
2708,2709,Griffin Canning,656288,656288,19867,10209.0,LAA,SP,SP
2710,2711,Griffin Conine,665052,665052,sa876060,10210.0,MIA,OF,OF
2712,2713,Griffin Jax,643377,643377,20253,11218.0,MIN,RP,RP
2715,2716,Griffin Roberts,675965,675965,sa3008483,10895.0,STL,SP,SP
2722,2723,Guillermo Zuniga,670871,670871,19588,11737.0,STL,RP,RP
2723,2724,Gunnar Henderson,683002,683002,26289,11108.0,BAL,SS/3B,SS/3B
2727,2728,Gus Varland,681402,681402,24737,11731.0,LAD,RP,RP
2734,2735,Ha-Seong Kim,673490,673490,27506,11147.0,SD,2B/SS/ 3B,2B/SS/ 3B
2740,2741,Hans Crouse,668968,668968,22192,10211.0,PHI,RP,RP
2744,2745,Hanser Alberto,593643,11902,11902,9052.0,FA,2B/3B,2B/3B
2747,2748,Harold Castro,605612,605612,14691,10111.0,COL,1B/2B/ 3B/OF,1B/2B/ SS/3B/ OF
2752,2753,Harold Ramirez,623912,14387,14387,9260.0,TB,1B/OF,1B/OF
2754,2755,Harrison Bader,664056,664056,18030,9710.0,NYY,OF,OF
2770,2771,Hayden Wesneski,669713,669713,27581,11411.0,CHC,SP,SP
2781,2782,Hector Neris,593576,11804,11804,8860.0,HOU,RP,RP
2782,2783,Hector Noesi,456051,456051,3292,8008.0,FA,SP,SP
2786,2787,Hector Rondon,444468,2391,2391,7618.0,FA,RP,RP
2787,2788,Hector Santiago,502327,4026,4026,8096.0,FA,RP,RP
2793,2794,Helcris Olivarez,672487,672487,sa3002965,11083.0,COL,SP,SP
2795,2796,Heliot Ramos,671218,671218,22515,10213.0,SF,OF,OF
