#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
662,Ben Madison,681823,681823,sa3008173,,SF,RP,RP
663,Ben Malgeri,701162,701162,sa3016975,,DET,OF,OF
664,Ben Norman,680421,680421,sa3018376,,CHW,OF,OF
665,Ben Ramirez,668756,668756,sa3016950,,SEA,2B,2B
666,Ben Rice,700250,700250,sa3016974,,NYY,C,C
667,Ben Rortvedt,666163,666163,20287,11158,NYY,C,C
668,Ben Ross,805346,805346,sa3020353,,MIN,SS,SS
669,Ben Rowen,594985,10983,10983,,FA,RP,RP
670,Ben Ruta,670352,670352,sa918694,,FA,OF,OF
671,Benjamin Cowles,701496,701496,sa3016976,,NYY,SS,SS
672,Benjamin Metzinger,690902,690902,sa3019927,,MIL,3B,3B
673,Benjamin Pelletier,647311,647311,sa876134,,FA,OF,OF
674,Benjamin Sems,686680,686680,sa3017161,,COL,3B,3B
675,Bennett Hostetler,702315,702315,sa3017120,,MIA,3B,3B
676,Bennett Sousa,656986,656986,21345,10903,MIL,RP,RP
677,Benny Montgomery,695603,695603,sa3017169,,COL,OF,OF
678,Benyamin Bailey,686397,686397,sa3009343,,FA,OF,OF
679,Bernardo Flores Jr.,641576,641576,19561,,TEX,RP,RP
680,Bernardo Zabala,806523,806523,sa3019910,,ARI,C,C
681,Bernie Martinez,689852,689852,sa3010142,,SEA,RP,RP
682,Bijon Boyd,622196,622196,sa657987,,FA,OF,OF
683,Billy Cook,695257,695257,sa3017021,,BAL,OF,OF
684,Billy Hamilton,571740,10199,10199,8229,CHW,OF,OF
685,Billy Lescher,676737,676737,sa3004471,,DET,RP,RP
686,Billy McKinney,641856,15654,15654,8939,NYY,OF,1B/OF
687,Bjay Cooke,805737,805737,sa3019807,,OAK,SS,SS
688,Blade Tidwell,694918,694918,sa3020177,,NYM,SP,SP
689,Bladimir De La Rosa,684517,684517,sa3009331,,FA,SS,SS
690,Bladimir Restituyo,678837,678837,sa3006621,,COL,2B,2B
691,Blaine Crim,688760,688760,sa3010170,,TEX,1B,1B
692,Blaine Hardy,543278,6499,6499,,FA,RP,RP
693,Blaine Knight,667421,667421,sa3008532,,BAL,RP,RP
694,Blaine McIntosh,687557,687557,sa3011665,,NYM,OF,OF
695,Blair Calvo,663971,663971,25416,11654,DET,RP,RP
696,Blair Henley,668874,668874,sa3011335,,HOU,SP,SP
697,Blake Bass,664194,664194,sa875190,,TEX,RP,RP
698,Blake Beers,676275,676275,sa3018004,,OAK,SP,SP
699,Blake Burkhalter,686628,686628,,,ATL,P,P
700,Blake Cederlind,664977,664977,20344,10773,FA,RP,RP
701,Blake Dunn,694362,694362,sa3016823,,CIN,OF,OF
702,Blake Goldsberry,688910,688910,sa3014978,,COL,RP,RP
703,Blake Holub,700183,700183,sa3018147,,DET,RP,RP
704,Blake Hunt,675448,675448,sa3004153,,TB,C,C
705,Blake Parker,453284,5224,5224,,FA,RP,RP
706,Blake Perkins,663368,663368,19921,11719,MIL,OF,OF
707,Blake Rambusch,800683,800683,sa3020008,,SEA,2B,2B
708,Blake Rivera,669690,669690,sa3008261,,SF,SP,SP
709,Blake Robertson,687545,687545,sa3020200,,TB,1B,1B
710,Blake Rutherford,666164,666164,sa917932,10140,WSH,OF,OF
711,Blake Sabol,666165,666165,25805,11728,SF,C/OF,C/OF
712,Blake Snell,605483,13543,13543,9328,SD,SP,SP
713,Blake Swihart,596119,13176,13176,,FA,C,C/OF
714,Blake Taylor,642130,642130,16418,10708,HOU,RP,RP
715,Blake Tiberi,669723,669723,sa874235,,FA,2B,2B
716,Blake Townsend,678620,678620,sa3010125,,SEA,RP,RP
717,Blake Trahan,664167,664167,,10091,CIN,SS,SS
718,Blake Treinen,595014,12572,12572,8756,LAD,RP,RP
719,Blake Walston,686796,686796,sa3011814,11033,ARI,SP,SP
720,Blake Weiman,676620,676620,sa3004211,,SEA,RP,RP
721,Blake Workman,682002,682002,sa3007856,,ARI,RP,RP
722,Blane Abeyta,686588,686588,sa3014975,,NYY,SP,SP
723,Blas Castano,680604,680604,sa3006617,,NYY,SP,SP
724,Blayberg Diaz,691600,691600,sa3015352,,MIL,C,C
725,Blayne Enlow,669416,669416,sa3005117,10141,MIN,SP,SP
726,Blaze Alexander,677942,677942,sa3007742,10142,ARI,SS,SS
727,Blaze Jordan,691458,691458,sa3014537,,BOS,3B,3B
728,Bligh Madris,676632,676632,20054,11500,HOU,OF,1B/OF
729,Bo Bichette,666182,666182,19612,9820,TOR,SS,SS
730,Bo Naylor,666310,666310,21865,10143,CLE,C,C
731,Bo Takahashi,649963,649963,sa830370,,FA,SP,SP
732,Bobby Bradley,656252,656252,17278,,FA,1B,1B
733,Bobby Dalbec,666915,666915,19966,10144,BOS,1B/3B,1B/3B
734,Bobby Milacki,673872,673872,sa3007216,,SD,RP,RP
735,Bobby Miller,676272,676272,27483,11073,LAD,SP,SP
736,Bobby Wahl,592833,592833,14832,,FA,RP,RP
737,Bobby Witt Jr.,677951,677951,25764,10932,KC,SS/3B,SS/3B
738,Bodi Rascon,686938,686938,sa3011849,,SD,SP,SP
739,Bowden Francis,670102,670102,20548,11130,TOR,RP,RP
740,Bracewell Taveras,808145,808145,sa3021193,,STL,SS,SS
741,Brad Boxberger,502202,10133,10133,8319,CHC,RP,RP
742,Brad Brach,542960,6627,6627,,FA,RP,RP
743,Brad Deppermann,656368,656368,sa3011801,,FA,SP,SP
744,Brad Hand,543272,9111,9111,8086,COL,RP,RP
745,Brad Keller,641745,641745,15734,9936,KC,SP,SP
746,Brad Malm,694246,694246,,,NYM,,
747,Brad Miller,543543,12775,12775,8533,TEX,3B/OF,3B/OF
748,Brad Peacock,502748,5401,5401,,FA,RP,RP
749,Brad Wieck,623364,623364,16390,9912,CHC,RP,RP
750,Braden Bishop,623323,623323,17806,,FA,OF,OF
751,Braden Bristo,668754,668754,20494,,DET,RP,RP
752,Braden Olthoff,687467,687467,sa3017654,,LAA,SP,SP
753,Braden Scott,685310,685310,sa3018143,,TOR,RP,RP
754,Braden Shewmake,669699,669699,25817,10848,ATL,SS,SS
755,Braden Shipley,640463,15158,15158,,SEA,RP,RP
756,Braden Zarbnisky,675640,675640,sa3014791,,PHI,RP,RP
757,Bradlee Beesley,686977,686977,sa3015097,,CHC,OF,OF
